kilojoules,name,pr_count,average_heartrate,average_watts,total_elevation_gain,elapsed_time,time,date,time_bins,achievement_count,moving_time,sport_type,weighted_average_watts,average_cadence,distance,average_speed,performance_label
31.5,Evening Ride,0.0,115.9,40.0,62.34,13.15,19.0,2023-08-13 19:39:30,4pm-8pm,0.0,13.15,Ride,152.0,90.1,2.14,9.76,0.9
1366.5,shift in the force ,9.0,154.5,143.5,1325.46,169.27,7.0,2023-08-12 07:31:32,4am-8am,17.0,158.72,Ride,160.0,89.8,50.21,18.98,0.2
1475.5,Fresh Daily ,20.0,151.6,156.9,2368.77,181.98,7.0,2023-08-05 07:00:43,4am-8am,33.0,156.75,Ride,177.0,88.3,47.66,18.24,0.2
79.0,Evening Ride,0.0,113.1,55.6,180.45,25.78,19.0,2023-08-02 19:26:29,4pm-8pm,0.0,23.67,Ride,152.0,90.1,3.55,9.01,0.9
1285.8,Canceled meeting ,9.0,155.3,166.7,1299.21,150.45,6.0,2023-07-21 06:32:07,4am-8am,18.0,128.55,Ride,189.0,88.7,40.54,18.92,0.2
214.1,baby girl new hard tail ,0.0,129.6,50.7,370.73,86.38,7.0,2023-07-15 07:50:04,4am-8am,4.0,70.35,Ride,152.0,90.1,10.67,9.1,0.7
79.0,Morning Ride,0.0,112.5,38.2,127.95,46.47,9.0,2023-07-12 09:23:39,8am-12pm,0.0,34.52,Ride,152.0,90.1,4.5,7.82,0.9
62.0,Afternoon Ride,0.0,105.8,40.2,108.27,25.73,15.0,2023-07-09 15:53:46,12pm-4pm,0.0,25.73,Ride,152.0,90.1,3.87,9.02,0.9
1380.3,Goooof balling ,11.0,159.7,161.5,2070.21,151.25,7.0,2023-07-08 07:23:45,4am-8am,25.0,142.45,Ride,183.0,88.8,43.89,18.49,0.2
1113.0,what can I climb in less than 2 hrs,3.0,157.8,152.7,2395.01,128.07,6.0,2023-06-24 06:59:46,4am-8am,20.0,121.47,Ride,174.0,88.6,35.19,17.38,0.2
1129.5,Woke up and body said fruku ,4.0,150.5,153.0,1656.82,137.77,7.0,2023-06-10 07:02:59,4am-8am,15.0,123.07,Ride,170.0,89.3,34.86,16.99,0.2
57.4,Afternoon Ride,0.0,113.3,39.1,111.55,24.5,14.0,2023-06-09 14:17:47,12pm-4pm,0.0,24.5,Ride,152.0,90.1,3.58,8.77,0.9
54.8,Morning Ride,0.0,109.7,37.5,85.3,24.98,10.0,2023-06-03 10:45:27,8am-12pm,0.0,24.37,Ride,152.0,90.1,3.72,9.16,0.9
1343.3,Yorba ,3.0,148.5,143.0,2247.38,168.32,6.0,2023-06-03 06:06:11,4am-8am,14.0,156.53,Ride,166.0,86.3,45.85,17.58,0.2
105.6,Stroll ,1.0,129.6,48.9,0.0,43.93,9.0,2023-05-29 09:02:05,8am-12pm,3.0,35.95,Ride,152.0,90.1,5.94,9.92,0.7
1851.2,70 miles solo w/ stroll ,0.0,147.2,143.1,1141.73,290.22,6.0,2023-05-29 06:07:32,4am-8am,7.0,215.63,Ride,156.0,85.4,64.67,17.99,0.2
66.3,Morning Ride,0.0,156.0,107.1,59.06,10.32,9.0,2023-05-27 09:18:06,8am-12pm,0.0,10.32,Ride,116.0,81.2,2.76,16.03,0.1
1090.7,High viz long sleeve yay ,0.0,144.1,139.8,1167.98,146.67,7.0,2023-05-19 07:48:06,4am-8am,2.0,129.98,Ride,147.0,87.7,40.19,18.55,0.2
1268.1,took it chill then tried to get sautéed last half ,4.0,155.7,173.4,620.08,156.4,7.0,2023-05-13 07:30:48,4am-8am,12.0,121.9,Ride,185.0,86.8,42.0,20.67,0.2
1095.5,rush hour riding = two thumbs down ,9.0,145.0,149.6,1561.68,139.08,7.0,2023-05-03 07:42:29,4am-8am,23.0,122.03,Ride,177.0,86.4,36.08,17.74,0.2
657.9,Chill bill vol 3,0.0,127.5,135.7,826.77,85.92,7.0,2023-04-29 07:38:15,4am-8am,0.0,80.78,Ride,137.0,86.9,20.55,15.27,0.8
1514.5,Mystical Friday ,1.0,154.7,157.6,2257.22,179.95,7.0,2023-04-28 07:43:41,4am-8am,13.0,160.13,Ride,173.0,88.3,47.37,17.75,0.2
636.2,EVCH_LOOP,0.0,145.6,149.9,393.7,75.05,8.0,2023-04-23 08:12:36,4am-8am,2.0,70.72,Ride,160.0,88.2,22.74,19.29,0.5
1041.6,Chiwah b4 mx ,13.0,146.0,140.9,1738.85,136.17,8.0,2023-03-28 08:34:55,4am-8am,29.0,123.17,Ride,149.0,84.9,35.18,17.14,0.2
232.9,He has an e bike ,1.0,108.4,103.5,744.75,48.47,17.0,2023-03-27 17:31:35,4pm-8pm,2.0,37.5,Ride,186.0,62.7,6.63,10.6,0.4
527.3,I miss the sun,0.0,156.4,144.2,511.81,63.28,7.0,2023-03-18 07:00:40,4am-8am,7.0,60.93,Ride,169.0,85.6,18.13,17.85,0.5
1167.0,Green Day ,4.0,145.6,141.3,2372.05,171.47,8.0,2023-02-26 08:22:31,4am-8am,18.0,137.67,Ride,156.0,79.9,38.05,16.58,0.2
1662.0,rodeo circle ,9.0,147.8,175.9,2431.1,215.25,7.0,2023-02-04 07:07:20,4am-8am,40.0,157.45,Ride,190.0,88.1,50.74,19.34,0.2
544.35,Laptop restart ,0.0,129.6,128.4,0.0,13.18,12.0,2023-02-02 12:31:43,8am-12pm,0.0,13.18,Ride,152.0,90.1,3.5,15.93,0.1
766.7,Chill MCC,4.0,132.7,98.2,1046.59,184.45,9.0,2023-01-21 09:47:29,8am-12pm,51.0,130.15,Ride,135.0,73.7,33.96,15.66,0.8
1332.1,As planned 🌦️,6.0,157.5,173.0,1272.97,146.15,7.0,2023-01-14 07:33:20,4am-8am,19.0,128.33,Ride,182.0,87.8,42.04,19.65,0.2
111.2,Afternoon Ride,0.0,129.6,37.5,134.51,68.95,15.0,2023-01-11 15:09:02,12pm-4pm,0.0,49.4,Ride,152.0,90.1,6.1,7.41,0.7
